topic,question,answer,category,risk_level,tags
Common Cold,What are common symptoms of a cold?,"Common cold symptoms include runny or stuffy nose, sore throat, sneezing, mild cough, and low-grade fever. Most colds improve within 7–10 days. Seek care if symptoms are severe or worsen.",self-care,low,"cold, runny nose, sore throat, cough"
Common Cold,How can I treat a cold at home?,"Home care includes rest, hydration, saline nasal spray, honey for cough (age > 1), and OTC pain/fever reducers as directed. Avoid antibiotics unless prescribed.",self-care,low,"rest, fluids, OTC"
Influenza,How is flu different from a cold?,"Flu often starts suddenly with fever, body aches, fatigue, and cough. Colds are usually milder. People at higher risk (older adults, pregnancy, chronic disease) may need medical advice early.",education,medium,"flu vs cold, fever, aches"
Influenza,When should I see a doctor for flu symptoms?,"Seek medical advice if you have trouble breathing, chest pain, confusion, dehydration, persistent high fever, or if you’re in a high-risk group. Antivirals work best when started early.",triage,high,"urgent, red flags"
Respiratory,I have fever and cough—what should I do?,"If you have fever and cough, rest and hydrate. Consider testing for contagious infections per local guidance. Seek urgent care for breathing difficulty, chest pain, blue lips, or severe weakness.",triage,high,"fever, cough, testing"
Hypertension,What is high blood pressure?,"High blood pressure (hypertension) is when blood pressure stays elevated over time, increasing risk for heart disease and stroke. Lifestyle changes and medications can help manage it.",education,medium,"BP, hypertension"
Hypertension,What lifestyle changes help reduce blood pressure?,"Helpful changes include reducing sodium, eating fruits/vegetables (DASH-style), regular exercise, limiting alcohol, quitting smoking, managing stress, and maintaining a healthy weight.",self-care,medium,"DASH, sodium, exercise"
Hypertension,When is high blood pressure an emergency?,"Seek emergency care if you have very high blood pressure with symptoms like chest pain, severe headache, shortness of breath, weakness/numbness, vision changes, or confusion.",triage,high,"ER, chest pain, neuro"
Diabetes,What are signs of high blood sugar?,"High blood sugar can cause increased thirst, frequent urination, fatigue, blurry vision, and slow-healing wounds. If you have very high readings with nausea/vomiting or confusion, seek urgent care.",education,high,"hyperglycemia, thirst"
Diabetes,How can I manage type 2 diabetes day to day?,"Day-to-day management often includes balanced meals, regular activity, monitoring glucose as recommended, taking medications as prescribed, and regular follow-ups. Work with a clinician for a personalized plan.",self-care,medium,"diet, activity, meds"
Diabetes,What are symptoms of low blood sugar?,"Low blood sugar may cause sweating, shakiness, hunger, confusion, irritability, and dizziness. If conscious, use the 15–15 rule (15g fast carbs, recheck in 15 minutes). Seek urgent help if severe.",triage,high,"hypoglycemia, 15-15"
Asthma,What triggers asthma symptoms?,"Common triggers include allergens, viral infections, smoke, exercise, cold air, and strong odors. Identifying triggers and using controller medications as prescribed can help prevent flare-ups.",education,medium,"wheeze, triggers"
Asthma,When is an asthma attack an emergency?,"Seek emergency care if you have severe shortness of breath, trouble speaking, blue lips/face, no relief from rescue inhaler, or worsening symptoms. Follow your asthma action plan if you have one.",triage,high,"ER, rescue inhaler"
